species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Fe 1,3018.307534897584,3018.296,3018.23,3018.33,0.07776111364364624,0.052000000000000046,0.3256842,0.09558619,0.9222388863563538,0.948,-1.127,2.9398,4.0,7.0476,5.0,1.75,1.51,1.02,7.67,-4.38,-7.29,5015621272.062492,True
Fe 1,3018.4828460104595,3018.5061,3018.34,3018.67,0.015115838497877121,0.006000000000000005,0.09964782,0.17654897,0.9848841615021229,0.994,-1.554,0.1101,1.0,4.2176,1.0,1.5,1.49,1.5,8.3,-6.16,277.264,3110520265.8164,True
Fe 1,3018.7308585900887,3018.7351,3018.68,3018.78,0.10087025165557861,0.06399999999999995,0.18251574,0.21985993,0.8991297483444214,0.936,-1.309,2.998,3.0,7.1052,4.0,1.91,1.45,0.77,7.65,-4.24,-7.29,2779214577.299168,True
Ni 1,3018.821646317496,3018.8206,3018.79,3018.93,0.14887654781341553,0.869,0.21841075,0.4501743,0.8511234521865845,0.131,-3.721,1.9354,2.0,6.0424,2.0,1.42,1.36,1.39,7.67,-4.59,-7.49,5341148606.302853,True
Fe 1,3019.0146395294055,3019.0143,3018.94,3019.07,0.12627696990966797,0.049000000000000044,0.45389807,0.3580216,0.873723030090332,0.951,-1.67,2.4041,6.0,6.5109,6.0,1.16,1.02,1.09,8.05,-6.09,314.246,10446429105.620646,True
Fe 1,3019.123476583798,3019.1259,3019.08,3019.19,0.18446969985961914,0.09099999999999997,0.34967,0.46743435,0.8155303001403809,0.909,-2.224,2.5592,4.0,6.6658,3.0,1.24,1.08,1.47,7.82,-4.82,-7.52,6463727293.653885,True
Zn 1,3019.238213643084,3019.2342,3019.2,3019.26,0.44357678294181824,0.756,0.46890265,0.45240533,0.5564232170581818,0.244,-1.833,4.0061,0.0,8.1126,1.0,99.0,99.0,99.0,0.0,0.0,0.0,41774227.50532472,True
Cr 1,3019.376312696555,3019.3703,3019.27,3019.42,0.06588876247406006,0.029000000000000026,0.4522344,0.13428319,0.9341112375259399,0.971,-0.44,0.9684,1.0,5.0747,1.0,1.5,2.46,1.98,8.21,-5.36,-7.52,8912631504.136013,True
Ca 1,3019.449376472689,3019.458,3019.43,3019.52,0.12429863214492798,0.11099999999999999,0.13540308,0.23426788,0.875701367855072,0.889,-1.395,1.8989,2.0,6.0051,3.0,1.5,1.33,1.17,6.69,-2.33,-6.44,1152186482.8623605,True
Fe 1,3019.5684201009926,3019.5778,3019.53,3019.61,0.1935288906097412,0.374,0.23013122,0.24149986,0.8064711093902588,0.626,-2.846,2.8512,4.0,6.9572,5.0,1.49,1.39,1.18,7.45,-4.41,-7.35,402252913.57431793,True
OH 1,3019.70586787661,3019.6998,3019.62,3019.75,0.054304540157318115,0.89,0.24440967,0.086101,0.9456954598426819,0.11,-2.217,1.3982,25.5,5.504,24.5,99.0,99.0,99.0,0.0,0.0,0.0,3836422887.8436384,True
Fe 1,3019.8623272631894,3019.8622,3019.76,3019.94,0.020460084080696106,0.007000000000000006,0.08612196,0.06205996,0.9795399159193039,0.993,-1.007,0.9582,3.0,5.0638,3.0,1.25,1.25,1.25,8.78,-5.79,441.295,1482303249.2944415,True
Ni 1,3020.0219994260533,3020.0214,3019.95,3020.08,0.02421480417251587,0.010000000000000009,0.06356926,0.05531599,0.9757851958274841,0.99,-1.911,0.0,4.0,4.1054,3.0,1.19,1.25,1.11,8.08,-6.16,-7.81,992231383.2839456,True
Fe 1,3020.1546073352074,3020.167,3020.09,3020.32,0.03898937255144119,0.04300000000000004,0.055286646,0.23530133,0.9610106274485588,0.957,-1.456,2.4534,4.0,6.5586,5.0,0.81,0.83,0.87,8.04,-6.08,-7.79,2904587545.936083,True
